LOGS :: 
Cpt rows (==) -- r#1 :: f#1
Cpt rows (>) -- r#1 :: f#0
Cpt rows (<) -- r#1 :: f#16
rows added (1) -- r#1 :: f#16
rows added (2) -- r#2 :: f#16
rows added (3) -- r#3 :: f#16
rows added (4) -- r#4 :: f#16
rows added (5) -- r#5 :: f#16
rows added (6) -- r#6 :: f#16
rows added (7) -- r#7 :: f#16
rows added (8) -- r#8 :: f#16
rows added (9) -- r#9 :: f#16
rows added (10) -- r#10 :: f#16
rows added (11) -- r#11 :: f#16
rows added (12) -- r#12 :: f#16
rows added (13) -- r#13 :: f#16
rows added (14) -- r#14 :: f#16
rows added (15) -- r#15 :: f#16
Cpt rows (<) -- r#1 :: f#60
rows added (1) -- r#1 :: f#60
rows added (2) -- r#2 :: f#60
rows added (3) -- r#3 :: f#60
rows added (4) -- r#4 :: f#60
rows added (5) -- r#5 :: f#60
rows added (6) -- r#6 :: f#60
rows added (7) -- r#7 :: f#60
rows added (8) -- r#8 :: f#60
rows added (9) -- r#9 :: f#60
rows added (10) -- r#10 :: f#60
rows added (11) -- r#11 :: f#60
rows added (12) -- r#12 :: f#60
rows added (13) -- r#13 :: f#60
rows added (14) -- r#14 :: f#60
rows added (15) -- r#15 :: f#60
rows added (16) -- r#16 :: f#60
rows added (17) -- r#17 :: f#60
rows added (18) -- r#18 :: f#60
rows added (19) -- r#19 :: f#60
rows added (20) -- r#20 :: f#60
rows added (21) -- r#21 :: f#60
rows added (22) -- r#22 :: f#60
rows added (23) -- r#23 :: f#60
rows added (24) -- r#24 :: f#60
rows added (25) -- r#25 :: f#60
rows added (26) -- r#26 :: f#60
rows added (27) -- r#27 :: f#60
rows added (28) -- r#28 :: f#60
rows added (29) -- r#29 :: f#60
rows added (30) -- r#30 :: f#60
rows added (31) -- r#31 :: f#60
rows added (32) -- r#32 :: f#60
rows added (33) -- r#33 :: f#60
rows added (34) -- r#34 :: f#60
rows added (35) -- r#35 :: f#60
rows added (36) -- r#36 :: f#60
rows added (37) -- r#37 :: f#60
rows added (38) -- r#38 :: f#60
rows added (39) -- r#39 :: f#60
rows added (40) -- r#40 :: f#60
rows added (41) -- r#41 :: f#60
rows added (42) -- r#42 :: f#60
rows added (43) -- r#43 :: f#60
rows added (44) -- r#44 :: f#60
rows added (45) -- r#45 :: f#60
rows added (46) -- r#46 :: f#60
rows added (47) -- r#47 :: f#60
rows added (48) -- r#48 :: f#60
rows added (49) -- r#49 :: f#60
rows added (50) -- r#50 :: f#60
rows added (51) -- r#51 :: f#60
rows added (52) -- r#52 :: f#60
rows added (53) -- r#53 :: f#60
rows added (54) -- r#54 :: f#60
rows added (55) -- r#55 :: f#60
rows added (56) -- r#56 :: f#60
rows added (57) -- r#57 :: f#60
rows added (58) -- r#58 :: f#60
rows added (59) -- r#59 :: f#60
