LOGS :: 
Cpt rows (<) -- r#1 :: f#28
rows added (1) -- r#1 :: f#28
rows added (2) -- r#2 :: f#28
rows added (3) -- r#3 :: f#28
rows added (4) -- r#4 :: f#28
rows added (5) -- r#5 :: f#28
rows added (6) -- r#6 :: f#28
rows added (7) -- r#7 :: f#28
rows added (8) -- r#8 :: f#28
rows added (9) -- r#9 :: f#28
rows added (10) -- r#10 :: f#28
rows added (11) -- r#11 :: f#28
rows added (12) -- r#12 :: f#28
rows added (13) -- r#13 :: f#28
rows added (14) -- r#14 :: f#28
rows added (15) -- r#15 :: f#28
rows added (16) -- r#16 :: f#28
rows added (17) -- r#17 :: f#28
rows added (18) -- r#18 :: f#28
rows added (19) -- r#19 :: f#28
rows added (20) -- r#20 :: f#28
rows added (21) -- r#21 :: f#28
rows added (22) -- r#22 :: f#28
rows added (23) -- r#23 :: f#28
rows added (24) -- r#24 :: f#28
rows added (25) -- r#25 :: f#28
rows added (26) -- r#26 :: f#28
rows added (27) -- r#27 :: f#28
