LOG [0] (14:12:27) -> LOGS METHANISATION logs\lundi-8-avril-2019__14-12-27__853__.txt :: 
LOG [0] (14:12:46) -> new fumier loaded ([ fumier nom::  aze, poids::   42, mSeche::    3, txCh4::    0 ]) -> f# 1/3
LOG [0] (14:12:46) -> new fumier loaded ([ fumier nom::pepdqf, poids::  785, mSeche::   45, txCh4::    0 ]) -> f# 2/3
LOG [0] (14:12:46) -> new fumier loaded ([ fumier nom::     , poids::    0, mSeche::    0, txCh4::    0 ]) -> f# 3/3
LOG [0] (14:12:57) -> new fumier saved ([ fumier nom::  aze, poids::   42, mSeche::    3, txCh4::    0 ])
LOG [0] (14:12:57) -> new fumier saved ([ fumier nom::pepdqf, poids::  785, mSeche::   45, txCh4::    0 ])
LOG [0] (14:12:57) -> new fumier saved ([ fumier nom::  456, poids::  456, mSeche::  456, txCh4::    0 ])
LOG [0] (14:12:57) -> new fumier saved ([ fumier nom::     , poids::    0, mSeche::    0, txCh4::    0 ])
LOG [0] (14:12:58) -> new fumier loaded ([ fumier nom::  aze, poids::   42, mSeche::    3, txCh4::    0 ]) -> f# 1/4
LOG [0] (14:12:58) -> new fumier loaded ([ fumier nom::pepdqf, poids::  785, mSeche::   45, txCh4::    0 ]) -> f# 2/4
LOG [0] (14:12:58) -> new fumier loaded ([ fumier nom::  456, poids::  456, mSeche::  456, txCh4::    0 ]) -> f# 3/4
LOG [0] (14:12:58) -> new fumier loaded ([ fumier nom::     , poids::    0, mSeche::    0, txCh4::    0 ]) -> f# 4/4
LOG [0] (14:13:04) -> new fumier saved ([ fumier nom::  aze, poids::   42, mSeche::    3, txCh4::    0 ])
LOG [0] (14:13:04) -> new fumier saved ([ fumier nom::pepdqf, poids::  785, mSeche::   45, txCh4::    0 ])
LOG [0] (14:13:04) -> new fumier saved ([ fumier nom::  456, poids::  456, mSeche::  456, txCh4::    0 ])
LOG [0] (14:13:04) -> new fumier saved ([ fumier nom::     , poids::    0, mSeche::    0, txCh4::    0 ])
