LOG [0] (18:28:52) -> LOGS METHANISATION logs\lundi-8-avril-2019__18-28-52__730__.txt :: 
LOG [0] (18:29:41) -> new fumier loaded ([ fumier nom::pepdqf, poids::  785, mSeche::   45, txCh4::    0 ]) -> f# 1/3
LOG [0] (18:29:41) -> new fumier loaded ([ fumier nom::  456, poids::  456, mSeche::  456, txCh4::    0 ]) -> f# 2/3
LOG [0] (18:29:41) -> new fumier loaded ([ fumier nom::     , poids::    0, mSeche::    0, txCh4::    0 ]) -> f# 3/3
LOG [0] (18:29:57) -> new fumier saved ([ fumier nom::pepdqf, poids::  785, mSeche::   45, txCh4::    0 ])
LOG [0] (18:29:57) -> new fumier saved ([ fumier nom::  456, poids::  456, mSeche::  456, txCh4::    0 ])
LOG [0] (18:29:57) -> new fumier saved ([ fumier nom:: caca, poids::   45, mSeche::   78, txCh4::    0 ])
LOG [0] (18:29:57) -> new fumier saved ([ fumier nom::     , poids::    0, mSeche::    0, txCh4::    0 ])
LOG [0] (18:29:58) -> new fumier loaded ([ fumier nom::pepdqf, poids::  785, mSeche::   45, txCh4::    0 ]) -> f# 1/4
LOG [0] (18:29:58) -> new fumier loaded ([ fumier nom::  456, poids::  456, mSeche::  456, txCh4::    0 ]) -> f# 2/4
LOG [0] (18:29:58) -> new fumier loaded ([ fumier nom:: caca, poids::   45, mSeche::   78, txCh4::    0 ]) -> f# 3/4
LOG [0] (18:29:58) -> new fumier loaded ([ fumier nom::     , poids::    0, mSeche::    0, txCh4::    0 ]) -> f# 4/4
LOG [0] (18:30:08) -> new fumier saved ([ fumier nom::pepdqf, poids::  785, mSeche::   45, txCh4::    0 ])
LOG [0] (18:30:08) -> new fumier saved ([ fumier nom::  456, poids::  456, mSeche::  456, txCh4::    0 ])
LOG [0] (18:30:08) -> new fumier saved ([ fumier nom::  qsd, poids::    0, mSeche::    0, txCh4::    0 ])
LOG [0] (18:30:08) -> new fumier saved ([ fumier nom::     , poids::    0, mSeche::    0, txCh4::    0 ])
LOG [0] (18:30:24) -> new fumier loaded ([ fumier nom::pepdqf, poids::  785, mSeche::   45, txCh4::    0 ]) -> f# 1/4
LOG [0] (18:30:24) -> new fumier loaded ([ fumier nom::  456, poids::  456, mSeche::  456, txCh4::    0 ]) -> f# 2/4
LOG [0] (18:30:24) -> new fumier loaded ([ fumier nom::  qsd, poids::    0, mSeche::    0, txCh4::    0 ]) -> f# 3/4
LOG [0] (18:30:24) -> new fumier loaded ([ fumier nom::     , poids::    0, mSeche::    0, txCh4::    0 ]) -> f# 4/4
LOG [0] (18:30:27) -> new fumier saved ([ fumier nom::pepdqf, poids::  785, mSeche::   45, txCh4::    0 ])
LOG [0] (18:30:27) -> new fumier saved ([ fumier nom::  456, poids::  456, mSeche::  456, txCh4::    0 ])
LOG [0] (18:30:27) -> new fumier saved ([ fumier nom::  qsd, poids::    0, mSeche::    0, txCh4::    0 ])
LOG [0] (18:30:27) -> new fumier saved ([ fumier nom::     , poids::    0, mSeche::    0, txCh4::    0 ])
